memory,receiver,mean_evm_percent,mean_ber,mean_inverse_pole_radius,inverse_zero_radius,n
exponential_tau_0.10,fir7,28.790877317830923,0.06932870370370371,,1.3517046632414997,45
exponential_tau_0.10,iir2,29.077679753231234,0.06672453703703704,0.6959100111931553,1.3517046632414997,45
exponential_tau_0.10,raw,98.34466584924436,0.6636574074074074,,1.3517046632414997,45
exponential_tau_0.10,soe_exact,32.816036738854294,0.09768518518518518,0.7398065769795579,1.3517046632414997,45
exponential_tau_0.10,soe_stable,32.816036738854294,0.09768518518518518,0.7398065769795579,1.3517046632414997,45
soe_two_scale,fir7,48.60980783828319,0.21614583333333334,,1.3549847955157368,45
soe_two_scale,iir2,48.50946234743026,0.20891203703703703,0.6242953205814724,1.3549847955157368,45
soe_two_scale,raw,99.39500146213398,0.6872685185185184,,1.3549847955157368,45
soe_two_scale,soe_exact,51.65529874461711,0.2404513888888889,0.8060339806325307,1.3549847955157368,45
soe_two_scale,soe_stable,51.655298744617035,0.2404513888888889,0.8060339806325308,1.3549847955157368,45
